filename_key,modality,GSE,species_corrected,tissue,cell_count,has_h5ad,in_reconciled,in_encoder_sweep
GSE115571_LPSMmDev,scrna,GSE115571,mouse,other,19998,True,True,True
GSE117988_MCCPBMCCancer,scrna,GSE117988,human,PBMC,12874,True,True,True
GSE120505_bloodAged,scrna,GSE120505,mouse,blood,14588,True,True,True
GSE123813_bccHmCancer,scrna,GSE123813,human,tumor,53030,True,True,True
GSE123902_LungAdreHmCancer,scrna,GSE123902,human,lung,42847,True,True,True
GSE124310_MMHmCancer,scrna,GSE124310,human,tumor,27796,True,True,True
GSE130148_LungHmDev,scrna,GSE130148,human,lung,10360,True,True,True
GSE130646_muscleHm,scrna,GSE130646,human,muscle,2876,True,False,True
GSE132509_acutelymluekPBMCHmCancer,scrna,GSE132509,human,PBMC,39375,True,True,True
GSE138709_LiverCancer,scrna,GSE138709,human,liver,33991,True,True,True
GSE142653pitHmDev,scrna,GSE142653,human,other,5181,True,True,True
GSE143423_lbm_CancerBrainHm,scrna,GSE143423,human,brain,12196,True,True,True
GSE145929_ProgastinMmDev,scrna,GSE145929,mouse,other,61014,True,True,True
GSE148215_hESCHSPCD8Hm,scrna,GSE148215,human,stem_cell,10110,True,True,True
GSE148218_bmALLHmCancer,scrna,GSE148218,human,tumor,50747,True,True,True
GSE149655_CAHmCancer,scrna,GSE149655,human,tumor,13060,True,True,True
GSE155109_bcECHmCancer,scrna,GSE155109,human,tumor,8433,True,True,True
GSE165784_RetinaHmDev,scrna,GSE165784,human,retina,11492,True,True,True
GSE165844_LSKMmBatch,scrna,GSE165844,mouse,other,19791,True,True,True
GSE167597_spineMm,scrna,GSE167597,mouse,other,16042,True,True,True
GSE168181_BreastHmCancer,scrna,GSE168181,mouse,tumor,23556,True,True,True
GSE183904_GastricHmCancer,scrna,GSE183904,human,tumor,62035,True,True,True
GSE189070_astrocytesSCIMmDev,scrna,GSE189070,mouse,other,103446,True,True,True
GSE189357_lungAdreHmCancer,scrna,GSE189357,human,lung,45938,True,True,True
GSE192857_hESCHmTimes,scrna,GSE192857,human,stem_cell,11067,True,True,True
GSE213740_ADHm,scrna,GSE213740,human,other,23871,True,True,True
