filename_key,GSE,tissue,cell_count,drop_reason
ATA_GSE198730_naive_ESC_scATAC_rep1_filtered_peak_bc_matrix_df,GSE198730,unspecified,,duplicate_tissue
ATA_GSM5402771_NF_2-004_filtered_peak_bc_matrix_df,GSM5402771,other,,duplicate_tissue
ATA_GSM5766892_d0-ctrl_filtered_peak_bc_matrix_df,GSM5766892,other,,duplicate_tissue
ATA_GSM5769453_WT_S_filtered_peak_bc_matrix_df,GSM5769453,other,,duplicate_tissue
ATA_GSM5769456_DTR_S_filtered_peak_bc_matrix_df,GSM5769456,other,,duplicate_tissue
ATA_GSM5769461_Day5_DTR_U_filtered_peak_bc_matrix_df,GSM5769461,other,,duplicate_tissue
ATA_GSM5769462_Day7_DTR_S_filtered_peak_bc_matrix_df,GSM5769462,other,,duplicate_tissue
ATA_GSM5769463_Day7_DTR_U_filtered_peak_bc_matrix_df,GSM5769463,other,,duplicate_tissue
ATA_GSM5975165_Arm_d60_filtered_peak_bc_matrix_df,GSM5975165,other,,duplicate_tissue
ATA_GSM5975166_Arm_d200_filtered_peak_bc_matrix_df,GSM5975166,other,,duplicate_tissue
ATA_GSM6044073_2P_human_filtered_peak_bc_matrix_df,GSM6044073,other,,duplicate_tissue
ATA_GSM6044075_1LM_human_filtered_peak_bc_matrix_df,GSM6044075,other,,duplicate_tissue
ATA_GSM6044076_2LM_human_filtered_peak_bc_matrix_df,GSM6044076,other,,duplicate_tissue
ATA_GSM6044077_4LM_human_filtered_peak_bc_matrix_df,GSM6044077,other,,duplicate_tissue
ATA_GSM6052781_E13_df,GSM6052781,other,,duplicate_tissue
