dataset_id,gse,path_abs,tissue,organism,cell_count,n_genes,modality,provenance_dir,format,priority_guess
GSM7734290_Naive_filtered_peak_bc_matrix,GSM7734290,/home/zeyufu/Downloads/ATAC_data/GSM7734290_Naive_filtered_peak_bc_matrix.h5ad,unknown,unknown,12883,103294,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM5342788_scB_filtered_peak_bc_matrix,GSM5342788,/home/zeyufu/Downloads/ATAC_data/GSM5342788_scB_filtered_peak_bc_matrix.h5ad,unknown,unknown,2633,100804,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM5769454_WT_U_filtered_peak_bc_matrix,GSM5769454,/home/zeyufu/Downloads/ATAC_data/GSM5769454_WT_U_filtered_peak_bc_matrix.h5ad,unknown,unknown,1535,103245,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7734714_MGH232_filtered_peak_bc_matrix,GSM7734714,/home/zeyufu/Downloads/ATAC_data/GSM7734714_MGH232_filtered_peak_bc_matrix.h5ad,unknown,unknown,2496,140695,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM5766893_d20-ctrl_filtered_peak_bc_matrix,GSM5766893,/home/zeyufu/Downloads/ATAC_data/GSM5766893_d20-ctrl_filtered_peak_bc_matrix.h5ad,unknown,unknown,2847,140804,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6449880_HD4_PBMC_eTreg_scATAC_filtered_peak_bc_matrix,GSM6449880,/home/zeyufu/Downloads/ATAC_data/GSM6449880_HD4_PBMC_eTreg_scATAC_filtered_peak_bc_matrix.h5ad,bone_marrow_blood,human,3303,67971,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7884545_D021_13_lobe_atac_filtered_peak_bc_matrix,GSM7884545,/home/zeyufu/Downloads/ATAC_data/GSM7884545_D021_13_lobe_atac_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,7682,104650,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7734712_MGH230_filtered_peak_bc_matrix,GSM7734712,/home/zeyufu/Downloads/ATAC_data/GSM7734712_MGH230_filtered_peak_bc_matrix.h5ad,unknown,unknown,7028,125017,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6214535_4_SI_IEL_filtered_peak_bc_matrix,GSM6214535,/home/zeyufu/Downloads/ATAC_data/GSM6214535_4_SI_IEL_filtered_peak_bc_matrix.h5ad,unknown,unknown,8253,110836,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6214533_1_CIEL_filtered_peak_bc_matrix,GSM6214533,/home/zeyufu/Downloads/ATAC_data/GSM6214533_1_CIEL_filtered_peak_bc_matrix.h5ad,unknown,unknown,1459,98171,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
