dataset_id,gse,path_abs,tissue,organism,cell_count,n_genes,modality,provenance_dir,format,priority_guess
bm_GSE120446,GSE120446,/home/zeyufu/Downloads/DevelopmentDatasets/bm_GSE120446.h5ad,bone_marrow_blood,unknown,90653,33694,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
endo,unknown,/home/zeyufu/Downloads/DevelopmentDatasets/endo.h5ad,pancreas,unknown,2531,27998,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
GSE148215_hESCHSPCD8Hm,GSE148215,/home/zeyufu/Downloads/DevelopmentDatasets/GSE148215_hESCHSPCD8Hm.h5ad,immune,human,10110,33538,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
setty,unknown,/home/zeyufu/Downloads/DevelopmentDatasets/setty.h5ad,unknown,unknown,5780,27876,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
GSE120505_bloodAged,GSE120505,/home/zeyufu/Downloads/DevelopmentDatasets/GSE120505_bloodAged.h5ad,unknown,unknown,14588,14697,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
hESC_GSE144024,GSE144024,/home/zeyufu/Downloads/DevelopmentDatasets/hESC_GSE144024.h5ad,stem_cell,human,9485,20335,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
GSE192857_hESCHmTimes,GSE192857,/home/zeyufu/Downloads/DevelopmentDatasets/GSE192857_hESCHmTimes.h5ad,stem_cell,human,11067,33538,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
ifnHSPC_GSE226824,GSE226824,/home/zeyufu/Downloads/DevelopmentDatasets/ifnHSPC_GSE226824.h5ad,unknown,unknown,13310,27998,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
GSE167597_spineMm,GSE167597,/home/zeyufu/Downloads/DevelopmentDatasets/GSE167597_spineMm.h5ad,unknown,unknown,16042,21457,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
lung,unknown,/home/zeyufu/Downloads/DevelopmentDatasets/lung.h5ad,lung,unknown,24882,24051,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
hemato,unknown,/home/zeyufu/Downloads/DevelopmentDatasets/hemato.h5ad,bone_marrow_blood,unknown,22602,32288,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
dentate,unknown,/home/zeyufu/Downloads/DevelopmentDatasets/dentate.h5ad,brain_neural,mouse,18213,27998,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
GSE165844_LSKMmBatch,GSE165844,/home/zeyufu/Downloads/DevelopmentDatasets/GSE165844_LSKMmBatch.h5ad,bone_marrow_blood,mouse,19791,26599,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
GSE253355_bmNicheHm,GSE253355,/home/zeyufu/Downloads/DevelopmentDatasets/GSE253355_bmNicheHm.h5ad,bone_marrow_blood,unknown,99846,33538,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
GSE226131_HSCMmAged,GSE226131,/home/zeyufu/Downloads/DevelopmentDatasets/GSE226131_HSCMmAged.h5ad,bone_marrow_blood,unknown,15793,31053,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets,h5ad,1
GSE213740_ADHm,GSE213740,/home/zeyufu/Downloads/DevelopmentDatasets2/GSE213740_ADHm.h5ad,unknown,unknown,23871,58825,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets2,h5ad,1
GSE247719_PanSci_05_Muscle_adata,GSE247719,/home/zeyufu/Downloads/DevelopmentDatasets2/GSE247719_PanSci_05_Muscle_adata.h5ad,muscle,unknown,696410,55416,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets2,h5ad,1
GSE115571_LPSMmDev,GSE115571,/home/zeyufu/Downloads/DevelopmentDatasets2/GSE115571_LPSMmDev.h5ad,unknown,unknown,19998,14426,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets2,h5ad,1
GSE275119_TeethMmDev,GSE275119,/home/zeyufu/Downloads/DevelopmentDatasets2/GSE275119_TeethMmDev.h5ad,teeth,unknown,6764,31053,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets2,h5ad,1
GSE130148_LungHmDev,GSE130148,/home/zeyufu/Downloads/DevelopmentDatasets2/GSE130148_LungHmDev.h5ad,lung,unknown,10360,16327,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets2,h5ad,1
GSE247719_PanSci_T_cell_adata,GSE247719,/home/zeyufu/Downloads/DevelopmentDatasets2/GSE247719_PanSci_T_cell_adata.h5ad,unknown,unknown,957975,55416,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets2,h5ad,1
GSE145929_UrineMmDev,GSE145929,/home/zeyufu/Downloads/DevelopmentDatasets2/GSE145929_UrineMmDev.h5ad,kidney,unknown,29331,31053,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets2,h5ad,1
GSE142653pitHmDev,GSE142653,/home/zeyufu/Downloads/DevelopmentDatasets2/GSE142653pitHmDev.h5ad,pituitary,unknown,5181,24190,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets2,h5ad,1
GSE165784_RetinaHmDev,GSE165784,/home/zeyufu/Downloads/DevelopmentDatasets2/GSE165784_RetinaHmDev.h5ad,retina,unknown,11492,15897,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets2,h5ad,1
GSE189070_astrocytesSCIMmDev,GSE189070,/home/zeyufu/Downloads/DevelopmentDatasets2/GSE189070_astrocytesSCIMmDev.h5ad,unknown,unknown,103446,27999,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets2,h5ad,1
GSE145929_ProgastinMmDev,GSE145929,/home/zeyufu/Downloads/DevelopmentDatasets2/GSE145929_ProgastinMmDev.h5ad,unknown,unknown,61014,31053,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets2,h5ad,1
GSE225948_bloodMmStrokeDev,GSE225948,/home/zeyufu/Downloads/DevelopmentDatasets2/GSE225948_bloodMmStrokeDev.h5ad,unknown,unknown,SKIPPED_>5GB,SKIPPED_>5GB,scRNA,/home/zeyufu/Downloads/DevelopmentDatasets2,h5ad,1
GSE143423_lbm_CancerBrainHm,GSE143423,/home/zeyufu/Downloads/CancerDatasets/GSE143423_lbm_CancerBrainHm.h5ad,bone_marrow_blood,unknown,12196,13375,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE98638_TcellLiverHmCancer,GSE98638,/home/zeyufu/Downloads/CancerDatasets/GSE98638_TcellLiverHmCancer.h5ad,liver,unknown,5063,23459,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE148218_bmALLHmCancer,GSE148218,/home/zeyufu/Downloads/CancerDatasets/GSE148218_bmALLHmCancer.h5ad,bone_marrow_blood,unknown,50747,32738,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE155109_bcStromaHmCancer,GSE155109,/home/zeyufu/Downloads/CancerDatasets/GSE155109_bcStromaHmCancer.h5ad,breast,unknown,18082,13342,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE183904_GastricHmCancer,GSE183904,/home/zeyufu/Downloads/CancerDatasets/GSE183904_GastricHmCancer.h5ad,stomach,human,SKIPPED_>5GB,SKIPPED_>5GB,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE262288_breastMetasisHmCancer,GSE262288,/home/zeyufu/Downloads/CancerDatasets/GSE262288_breastMetasisHmCancer.h5ad,breast,human,157518,31915,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE123813_bccHmCancer,GSE123813,/home/zeyufu/Downloads/CancerDatasets/GSE123813_bccHmCancer.h5ad,skin,unknown,SKIPPED_>5GB,SKIPPED_>5GB,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE123902_LungAdreHmCancer,GSE123902,/home/zeyufu/Downloads/CancerDatasets/GSE123902_LungAdreHmCancer.h5ad,lung,unknown,42847,12604,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE132509_acutelymluekPBMCHmCancer,GSE132509,/home/zeyufu/Downloads/CancerDatasets/GSE132509_acutelymluekPBMCHmCancer.h5ad,bone_marrow_blood,human,39375,33694,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE235787_bcellsALLHmCancer,GSE235787,/home/zeyufu/Downloads/CancerDatasets/GSE235787_bcellsALLHmCancer.h5ad,breast,unknown,113495,18082,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE222002_TcellsHmCancer,GSE222002,/home/zeyufu/Downloads/CancerDatasets/GSE222002_TcellsHmCancer.h5ad,immune,unknown,78315,32285,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE225600_breast_CancerHm,GSE225600,/home/zeyufu/Downloads/CancerDatasets/GSE225600_breast_CancerHm.h5ad,breast,human,81683,36601,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE155109_bcECHmCancer,GSE155109,/home/zeyufu/Downloads/CancerDatasets/GSE155109_bcECHmCancer.h5ad,breast,unknown,8433,12214,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE143423_tnbc_CancerBrainHm,GSE143423,/home/zeyufu/Downloads/CancerDatasets/GSE143423_tnbc_CancerBrainHm.h5ad,brain_neural,unknown,7246,19826,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE123813_sccHmCancer,GSE123813,/home/zeyufu/Downloads/CancerDatasets/GSE123813_sccHmCancer.h5ad,skin,unknown,26016,18347,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE222369_NKsLymphomaHmCancer,GSE222369,/home/zeyufu/Downloads/CancerDatasets/GSE222369_NKsLymphomaHmCancer.h5ad,immune,human,138805,36601,scRNA,/home/zeyufu/Downloads/CancerDatasets,h5ad,1
GSE124310_MMHmCancer,GSE124310,/home/zeyufu/Downloads/CancerDatasets2/GSE124310_MMHmCancer.h5ad,unknown,mouse,27796,33694,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE189357_lungAdreHmCancer,GSE189357,/home/zeyufu/Downloads/CancerDatasets2/GSE189357_lungAdreHmCancer.h5ad,lung,unknown,45938,33538,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE163558_stomachHmCancer,GSE163558,/home/zeyufu/Downloads/CancerDatasets2/GSE163558_stomachHmCancer.h5ad,stomach,unknown,54687,33538,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE228499_breastHmCancer,GSE228499,/home/zeyufu/Downloads/CancerDatasets2/GSE228499_breastHmCancer.h5ad,breast,human,32349,36626,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE138709_LiverCancer,GSE138709,/home/zeyufu/Downloads/CancerDatasets2/GSE138709_LiverCancer.h5ad,liver,unknown,33991,11737,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE283205_hepatoblastomaCancer,GSE283205,/home/zeyufu/Downloads/CancerDatasets2/GSE283205_hepatoblastomaCancer.h5ad,liver,unknown,16506,18082,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE168181_BreastHmCancer,GSE168181,/home/zeyufu/Downloads/CancerDatasets2/GSE168181_BreastHmCancer.h5ad,breast,human,23556,31053,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE117988_MCCPBMCCancer,GSE117988,/home/zeyufu/Downloads/CancerDatasets2/GSE117988_MCCPBMCCancer.h5ad,bone_marrow_blood,human,12874,17712,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE120575_melanomaHmCancer,GSE120575,/home/zeyufu/Downloads/CancerDatasets2/GSE120575_melanomaHmCancer.h5ad,skin,human,SKIPPED_>5GB,SKIPPED_>5GB,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE117988_MCCTumorCancer,GSE117988,/home/zeyufu/Downloads/CancerDatasets2/GSE117988_MCCTumorCancer.h5ad,unknown,unknown,7431,21861,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE149655_CAHmCancer,GSE149655,/home/zeyufu/Downloads/CancerDatasets2/GSE149655_CAHmCancer.h5ad,unknown,unknown,13060,33538,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE225857_liverColonMetasisHmCancer,GSE225857,/home/zeyufu/Downloads/CancerDatasets2/GSE225857_liverColonMetasisHmCancer.h5ad,liver,unknown,22260,17943,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
bm_GSE120446,GSE120446,/home/zeyufu/LAB/DATA/bm_GSE120446.h5ad,bone_marrow_blood,unknown,90653,33694,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
endo,unknown,/home/zeyufu/LAB/DATA/endo.h5ad,pancreas,unknown,2531,27998,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
lsklk,unknown,/home/zeyufu/LAB/DATA/lsklk.h5ad,bone_marrow_blood,mouse,46447,27207,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
setty,unknown,/home/zeyufu/LAB/DATA/setty.h5ad,unknown,unknown,5780,27876,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
GSE130646_muscleHm,GSE130646,/home/zeyufu/LAB/DATA/GSE130646_muscleHm.h5ad,muscle,unknown,2876,15406,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
pbmc,unknown,/home/zeyufu/LAB/DATA/pbmc.h5ad,bone_marrow_blood,human,2700,32738,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
hESC_GSE144024,GSE144024,/home/zeyufu/LAB/DATA/hESC_GSE144024.h5ad,stem_cell,human,9485,20335,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
