dataset,method,metric,value,z_score,severity,likely_cause,action
1014,PCA,ASW,,,high,nan,rerun
1014,PCA,DAV,,,high,nan,rerun
1014,PCA,CAL,,,high,nan,rerun
1014,PCA,K_max_umap,,,high,nan,rerun
1014,PCA,K_max_tsne,,,high,nan,rerun
1014,PCA,distance_correlation_umap,,,high,nan,rerun
1014,PCA,Q_local_umap,,,high,nan,rerun
1014,PCA,Q_global_umap,,,high,nan,rerun
1014,PCA,overall_quality_umap,,,high,nan,rerun
1014,PCA,distance_correlation_tsne,,,high,nan,rerun
1014,PCA,Q_local_tsne,,,high,nan,rerun
1014,PCA,Q_global_tsne,,,high,nan,rerun
1014,PCA,overall_quality_tsne,,,high,nan,rerun
1014,PCA,manifold_dimensionality_intrin,,,high,nan,rerun
1014,PCA,spectral_decay_rate_intrin,,,high,nan,rerun
1014,PCA,participation_ratio_intrin,,,high,nan,rerun
1014,PCA,anisotropy_score_intrin,,,high,nan,rerun
1014,PCA,trajectory_directionality_intrin,,,high,nan,rerun
1014,PCA,noise_resilience_intrin,,,high,nan,rerun
1014,PCA,overall_quality_intrin,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,ASW,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,DAV,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,CAL,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,K_max_umap,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,K_max_tsne,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,distance_correlation_umap,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,Q_local_umap,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,Q_global_umap,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,overall_quality_umap,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,distance_correlation_tsne,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,Q_local_tsne,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,Q_global_tsne,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,overall_quality_tsne,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,manifold_dimensionality_intrin,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,spectral_decay_rate_intrin,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,participation_ratio_intrin,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,anisotropy_score_intrin,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,trajectory_directionality_intrin,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,noise_resilience_intrin,,,high,nan,rerun
GSM6675425_d2_5_filtered_peak_bc_matrix,PoissonVI,overall_quality_intrin,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,ASW,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,DAV,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,CAL,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,K_max_umap,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,K_max_tsne,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,distance_correlation_umap,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,Q_local_umap,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,Q_global_umap,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,overall_quality_umap,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,distance_correlation_tsne,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,Q_local_tsne,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,Q_global_tsne,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,overall_quality_tsne,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,manifold_dimensionality_intrin,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,spectral_decay_rate_intrin,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,participation_ratio_intrin,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,anisotropy_score_intrin,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,trajectory_directionality_intrin,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,noise_resilience_intrin,,,high,nan,rerun
GSM7267133_ess.filtered_peak_bc_matrix,PoissonVI,overall_quality_intrin,,,high,nan,rerun
GSE115571_LPSMmDev,DICL,overall_quality_umap,0.2931493945723952,-6.022693186784739,medium,biology,biology
synthetic_200x100,scCCVGBen_GATv2,Q_local_tsne,0.375336860670194,-5.958530380757413,medium,extreme-z,rerun
GSE115571_LPSMmDev,DICL,distance_correlation_tsne,-0.0777136203523786,-5.901406667008884,medium,biology,biology
GSE115571_LPSMmDev,DICL,distance_correlation_umap,-0.2411601468350531,-5.868183476391662,medium,biology,biology
GSE220840_new,scCCVGBen_Cheb,manifold_dimensionality_intrin,0.3327599580240178,-5.772633677843119,medium,extreme-z,rerun
GSE115571_LPSMmDev,DICL,Q_global_umap,0.5598469898088481,-5.637098389183722,medium,biology,biology
GSE115571_LPSMmDev,DICL,overall_quality_tsne,0.3907098819610419,-5.586484854709808,medium,biology,biology
GSE115571_LPSMmDev,DICL,Q_global_tsne,0.5932298994325542,-5.269093603490081,medium,biology,biology
GSE220840_new,scCCVGBen_Cheb,participation_ratio_intrin,0.366857225702073,-5.216739920977121,medium,extreme-z,rerun
GSE115571_LPSMmDev,KPCA,distance_correlation_umap,-0.0046499270162814,-4.870326133206321,medium,biology,biology
synthetic_200x100,scCCVGBen_GATv2,Q_local_umap,0.4406434068862702,-4.852952017919633,medium,extreme-z,rerun
GSE115571_LPSMmDev,KPCA,overall_quality_umap,0.3646171161157734,-4.838670947534237,medium,biology,biology
GSE115571_LPSMmDev,DIP,Q_global_tsne,0.5915791073937049,-4.8338857421842025,medium,biology,biology
synthetic_200x100,scCCVGBen_GAT,Q_local_tsne,0.4596214193214193,-4.806415526846066,medium,extreme-z,rerun
GSE115571_LPSMmDev,scCCVGBen_GAT,participation_ratio_intrin,0.3833909517871979,-4.748487988108327,medium,extreme-z,rerun
GSE115571_LPSMmDev,ICA,Q_global_umap,0.5802733197605251,-4.674186219855228,medium,biology,biology
