dataset_id,gse,modality,notebook_source,path_reference,priority,notes
GSE123813_bccHmCancer,GSE123813,scRNA,supplement,../../Downloads/CancerDatasets/GSE123813_bccHmCancer.h5ad,2,"Skin; Human; Basal cell carcinoma, PD-1 blockade (Yost et al.)"
GSE123813_sccHmCancer,GSE123813,scRNA,supplement,../../Downloads/CancerDatasets/GSE123813_sccHmCancer.h5ad,2,"Skin; Human; Squamous cell carcinoma, PD-1 blockade (Yost et al.)"
GSE123902_LungAdreHmCancer,GSE123902,scRNA,supplement,../../Downloads/CancerDatasets/GSE123902_LungAdreHmCancer.h5ad,2,Lung; Human; Lung adenocarcinoma primary tumors & metastases (Laughney et al.)
GSE132509_acutelymluekPBMCHmCancer,GSE132509,scRNA,supplement,../../Downloads/CancerDatasets/GSE132509_acutelymluekPBMCHmCancer.h5ad,2,Blood; Human; Childhood acute lymphoblastic leukemia (Caron et al.)
GSE143423_lbm_CancerBrainHm,GSE143423,scRNA,supplement,../../Downloads/CancerDatasets/GSE143423_lbm_CancerBrainHm.h5ad,2,Brain; Human; Lung cancer brain metastasis (Wang et al.)
GSE143423_tnbc_CancerBrainHm,GSE143423,scRNA,supplement,../../Downloads/CancerDatasets/GSE143423_tnbc_CancerBrainHm.h5ad,2,Brain; Human; Triple-negative breast cancer brain metastasis (Wang et al.)
GSE148218_bmALLHmCancer,GSE148218,scRNA,supplement,../../Downloads/CancerDatasets/GSE148218_bmALLHmCancer.h5ad,2,Bone marrow; Human; B-cell acute lymphoblastic leukemia (Mehtonen et al.)
GSE155109_bcECHmCancer,GSE155109,scRNA,supplement,../../Downloads/CancerDatasets/GSE155109_bcECHmCancer.h5ad,2,Breast; Human; Breast cancer endothelial cells (Geldhof et al.)
GSE155109_bcStromaHmCancer,GSE155109,scRNA,supplement,../../Downloads/CancerDatasets/GSE155109_bcStromaHmCancer.h5ad,2,Breast; Human; Breast cancer stromal cells (Geldhof et al.)
GSE183904_GastricHmCancer,GSE183904,scRNA,supplement,../../Downloads/CancerDatasets/GSE183904_GastricHmCancer.h5ad,2,Stomach; Human; Gastric cancer atlas (Kumar et al.)
GSE222002_TcellsHmCancer,GSE222002,scRNA,supplement,../../Downloads/CancerDatasets/GSE222002_TcellsHmCancer.h5ad,2,Blood; Human; Tumor-infiltrating T cells (Chen & Li)
GSE222369_NKsLymphomaHmCancer,GSE222369,scRNA,supplement,../../Downloads/CancerDatasets/GSE222369_NKsLymphomaHmCancer.h5ad,2,Blood; Human; NK cells in non-Hodgkin lymphoma (Cichocki & Day)
GSE225600_breast_CancerHm,GSE225600,scRNA,supplement,../../Downloads/CancerDatasets/GSE225600_breast_CancerHm.h5ad,2,Breast; Human; Breast cancer primary & metastatic LN (Liu et al.)
GSE235787_bcellsALLHmCancer,GSE235787,scRNA,supplement,../../Downloads/CancerDatasets/GSE235787_bcellsALLHmCancer.h5ad,2,Blood; Human; B-cell ALL network pharmacology (Yang et al.)
GSE262288_breastMetasisHmCancer,GSE262288,scRNA,supplement,../../Downloads/CancerDatasets/GSE262288_breastMetasisHmCancer.h5ad,2,Breast; Human; Breast cancer metastasis CDK4/6 inhibition (Li & Luo)
GSE98638_TcellLiverHmCancer,GSE98638,scRNA,supplement,../../Downloads/CancerDatasets/GSE98638_TcellLiverHmCancer.h5ad,2,Liver; Human; T cells in hepatocellular carcinoma (Zheng et al.)
