figure_id,comparison_id,reference,other,modality,metric,mean_diff,p_raw,p_holm,n_pairs,ci_lo,ci_hi
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,ASW,0.112405,0.000000,0.000000,45,0.099669,0.125156
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,CAL,554.245719,0.000000,0.000000,45,455.346530,657.110522
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,DAV,-0.424032,0.000000,0.000000,45,-0.484488,-0.365435
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,K_max_tsne,-102.688889,0.000000,0.000000,45,-132.312222,-74.421111
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,K_max_umap,-112.822222,0.000000,0.000000,45,-136.822222,-89.755556
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,Q_global_tsne,0.017449,0.000017,0.000035,45,0.010100,0.025508
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,Q_global_umap,0.013263,0.001127,0.002254,45,0.005539,0.021475
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,Q_local_tsne,0.099923,0.000000,0.000000,45,0.086447,0.115117
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,Q_local_umap,0.090328,0.000000,0.000000,45,0.073532,0.108109
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,anisotropy_score_intrin,0.150958,0.000000,0.000000,45,0.139468,0.162730
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,distance_correlation_tsne,0.020481,0.031959,0.063918,45,0.004330,0.036657
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,distance_correlation_umap,0.009556,0.261778,0.261778,45,-0.006915,0.025721
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,manifold_dimensionality_intrin,0.103279,0.000000,0.000000,45,0.083607,0.123641
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,noise_resilience_intrin,0.034907,0.000000,0.000000,45,0.026510,0.044150
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,overall_quality_intrin,0.075006,0.000000,0.000000,45,0.063703,0.086623
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,overall_quality_tsne,0.045951,0.000000,0.000000,45,0.035407,0.057587
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,overall_quality_umap,0.037716,0.000000,0.000000,45,0.025620,0.050859
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,participation_ratio_intrin,0.129172,0.000000,0.000000,45,0.109399,0.149628
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,spectral_decay_rate_intrin,0.057215,0.000000,0.000000,45,0.049862,0.064637
fig03,fig03_CenVAE_vs_VAE,CenVAE,VAE,scrna,trajectory_directionality_intrin,0.043155,0.000000,0.000000,45,0.032753,0.053953
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,ASW,0.059823,0.000000,0.000000,45,0.050563,0.069109
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,CAL,594.810373,0.000000,0.000000,45,534.828197,656.804968
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,DAV,-0.289422,0.000000,0.000000,45,-0.340022,-0.240801
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,K_max_tsne,46.466667,0.004486,0.008972,45,16.510556,84.778333
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,K_max_umap,10.977778,0.012862,0.012862,45,-29.425000,40.555556
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,Q_global_tsne,0.063103,0.000000,0.000000,45,0.053814,0.072953
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,Q_global_umap,0.061916,0.000000,0.000000,45,0.053220,0.071063
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,Q_local_tsne,0.076163,0.000000,0.000000,45,0.065487,0.087253
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,Q_local_umap,0.079348,0.000000,0.000000,45,0.063427,0.092906
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,anisotropy_score_intrin,0.128302,0.000000,0.000000,45,0.119995,0.137232
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,distance_correlation_tsne,0.128354,0.000000,0.000000,45,0.105314,0.151495
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,distance_correlation_umap,0.131546,0.000000,0.000000,45,0.110919,0.152518
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,manifold_dimensionality_intrin,0.176633,0.000000,0.000000,45,0.161650,0.192050
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,noise_resilience_intrin,0.108050,0.000000,0.000000,45,0.095808,0.120950
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,overall_quality_intrin,0.131226,0.000000,0.000000,45,0.122766,0.140212
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,overall_quality_tsne,0.089207,0.000000,0.000000,45,0.077148,0.101869
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,overall_quality_umap,0.090937,0.000000,0.000000,45,0.079329,0.102794
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,participation_ratio_intrin,0.228324,0.000000,0.000000,45,0.213568,0.244579
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,spectral_decay_rate_intrin,0.068421,0.000000,0.000000,45,0.063862,0.073218
fig03,fig03_CouVAE_vs_VAE,CouVAE,VAE,scrna,trajectory_directionality_intrin,0.114686,0.000000,0.000000,45,0.103809,0.125760
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,ASW,0.060380,0.000000,0.000000,45,0.049992,0.071062
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,CAL,183.301269,0.000000,0.000000,45,149.401228,216.971041
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,DAV,-0.173276,0.000000,0.000000,45,-0.224398,-0.122325
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,K_max_tsne,1.222222,0.208314,0.208314,45,-19.400000,26.955556
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,K_max_umap,-7.688889,0.001595,0.003191,45,-35.688889,34.935556
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,Q_global_tsne,0.005045,0.200219,0.200219,45,-0.001974,0.012449
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,Q_global_umap,0.004336,0.180971,0.180971,45,-0.003012,0.011279
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,Q_local_tsne,0.050514,0.000000,0.000000,45,0.042849,0.058763
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,Q_local_umap,0.050173,0.000000,0.000000,45,0.040097,0.061559
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,anisotropy_score_intrin,-0.017407,0.000163,0.000163,45,-0.026149,-0.009520
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,distance_correlation_tsne,-0.000968,0.964345,0.964345,45,-0.021523,0.019786
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,distance_correlation_umap,0.013996,0.112062,0.224125,45,-0.010014,0.036396
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,manifold_dimensionality_intrin,-0.015381,0.040229,0.040229,45,-0.033395,0.003312
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,noise_resilience_intrin,-0.000531,0.606891,0.606891,45,-0.004321,0.003146
