filename_key,GSE,tissue,species,category,description,modality,cell_count,drop_status
GSE115571_LPSMmDev,GSE115571,other,mouse,Unknown,GSE115571_LPSMmDev,scrna,19998,kept
GSE117988_MCCPBMCCancer,GSE117988,PBMC,human,Unknown,GSE117988_MCCPBMCCancer,scrna,12874,kept
GSE120505_bloodAged,GSE120505,blood,mouse,Unknown,GSE120505_bloodAged,scrna,14588,kept
GSE120575_melanomaHmCancer,GSE120575,tumor,human,Unknown,GSE120575_melanomaHmCancer,scrna,16291,dropped_preprocessed
GSE123813_bccHmCancer,GSE123813,tumor,human,Unknown,GSE123813_bccHmCancer,scrna,53030,kept
GSE123902_LungAdreHmCancer,GSE123902,lung,human,Unknown,GSE123902_LungAdreHmCancer,scrna,42847,kept
GSE124310_MMHmCancer,GSE124310,tumor,human,Unknown,GSE124310_MMHmCancer,scrna,27796,kept
GSE130148_LungHmDev,GSE130148,lung,human,Unknown,GSE130148_LungHmDev,scrna,10360,kept
GSE130646_muscleHm,GSE130646,muscle,human,Unknown,GSE130646_muscleHm,scrna,2876,kept
GSE132509_acutelymluekPBMCHmCancer,GSE132509,PBMC,human,Unknown,GSE132509_acutelymluekPBMCHmCancer,scrna,39375,kept
GSE138709_LiverCancer,GSE138709,liver,human,Unknown,GSE138709_LiverCancer,scrna,33991,kept
GSE142653pitHmDev,GSE142653,other,human,Unknown,GSE142653pitHmDev,scrna,5181,kept
GSE143423_lbm_CancerBrainHm,GSE143423,brain,human,Unknown,GSE143423_lbm_CancerBrainHm,scrna,12196,kept
GSE145929_ProgastinMmDev,GSE145929,other,mouse,Unknown,GSE145929_ProgastinMmDev,scrna,61014,kept
GSE148215_hESCHSPCD8Hm,GSE148215,stem_cell,human,Unknown,GSE148215_hESCHSPCD8Hm,scrna,10110,kept
GSE148218_bmALLHmCancer,GSE148218,tumor,human,Unknown,GSE148218_bmALLHmCancer,scrna,50747,kept
GSE149655_CAHmCancer,GSE149655,tumor,human,Unknown,GSE149655_CAHmCancer,scrna,13060,kept
GSE155109_bcECHmCancer,GSE155109,tumor,human,Unknown,GSE155109_bcECHmCancer,scrna,8433,kept
GSE165784_RetinaHmDev,GSE165784,retina,human,Unknown,GSE165784_RetinaHmDev,scrna,11492,kept
GSE165844_LSKMmBatch,GSE165844,other,mouse,Unknown,GSE165844_LSKMmBatch,scrna,19791,kept
GSE167597_spineMm,GSE167597,other,mouse,Unknown,GSE167597_spineMm,scrna,16042,kept
GSE168181_BreastHmCancer,GSE168181,tumor,mouse,Unknown,GSE168181_BreastHmCancer,scrna,23556,kept
GSE183904_GastricHmCancer,GSE183904,tumor,human,Unknown,GSE183904_GastricHmCancer,scrna,62035,kept
GSE189070_astrocytesSCIMmDev,GSE189070,other,mouse,Unknown,GSE189070_astrocytesSCIMmDev,scrna,103446,kept
GSE189357_lungAdreHmCancer,GSE189357,lung,human,Unknown,GSE189357_lungAdreHmCancer,scrna,45938,kept
GSE192857_hESCHmTimes,GSE192857,stem_cell,human,Unknown,GSE192857_hESCHmTimes,scrna,11067,kept
GSE213740_ADHm,GSE213740,other,human,Unknown,GSE213740_ADHm,scrna,23871,kept
GSE222002_TcellsHmCancer,GSE222002,tumor,mouse,Unknown,GSE222002_TcellsHmCancer,scrna,78315,kept
GSE222369_NKsLymphomaHmCancer,GSE222369,tumor,human,Unknown,GSE222369_NKsLymphomaHmCancer,scrna,138805,kept
GSE225600_breast_CancerHm,GSE225600,tumor,human,Unknown,GSE225600_breast_CancerHm,scrna,81683,kept
GSE225857_liverColonMetasisHmCancer,GSE225857,liver,human,Unknown,GSE225857_liverColonMetasisHmCancer,scrna,22260,kept
GSE225948_bloodMmStrokeDev,GSE225948,blood,mouse,Unknown,GSE225948_bloodMmStrokeDev,scrna,51709,dropped_preprocessed
GSE226131_HSCMmAged,GSE226131,other,mouse,Unknown,GSE226131_HSCMmAged,scrna,15793,kept
GSE228499_breastHmCancer,GSE228499,tumor,human,Unknown,GSE228499_breastHmCancer,scrna,32349,kept
GSE235787_bcellsALLHmCancer,GSE235787,tumor,human,Unknown,GSE235787_bcellsALLHmCancer,scrna,113495,kept
GSE247719_PanSci_05_Muscle_adata,GSE247719,muscle,mouse,Unknown,GSE247719_PanSci_05_Muscle_adata,scrna,696410,kept
GSE253355_bmNicheHm,GSE253355,other,human,Unknown,GSE253355_bmNicheHm,scrna,99846,kept
GSE255019_hematoMmAged,GSE255019,other,mouse,Unknown,GSE255019_hematoMmAged,scrna,22602,kept
